"","V1","V2","V3","V4","V5"
"1",1.67335068554041e-208,3.14658230175777e-10,0.999999999685341,1.13467646345445e-17,2.09115885880415e-16
"2",1.86584385217593e-318,5.9664749986893e-14,0.99999999999994,3.84666043443754e-53,1.00655470807586e-39
"3",1.39025070876154e-40,6.91544100107822e-06,0.999993084558999,5.8737657912464e-56,5.18299461269301e-32
"4",6.54350263674983e-10,0.00455300709229897,0.995446990615484,5.49774612653151e-31,1.63786685261513e-09
"5",3.97482740485132e-179,3.93584621704076e-12,2.29529921899514e-09,3.28327326808104e-34,0.999999997700765
"6",1.06001522960956e-105,8.54649624479148e-16,0.999999999999999,2.8864314233297e-123,4.80242040114488e-69
"7",3.67881707667743e-81,1.92037785126689e-08,0.999999980796222,1.29020653552687e-27,3.14764137346006e-18
"8",3.90725113470766e-92,0.989108797617226,0.0108912023827737,9.83170151780111e-50,2.08842371801272e-22
"9",9.12585044374958e-123,3.17576133854075e-17,1,1.23827348827166e-220,9.12364448249418e-103
"10",8.41339306318408e-15,0.00126716501169484,0.998732834988295,4.25705287293924e-41,1.43723057257236e-15
"11",5.17906901626173e-73,0.229566265077463,1.32270107445336e-12,7.75959523010676e-23,0.770433734921214
"12",0.745957953143081,0.154804205754918,0.0992378411018291,5.38346303599084e-50,1.72080770850124e-13
"13",1.32813087516891e-08,0.235974155118821,0.764025831599713,2.99817000504165e-36,1.57591201866007e-13
"14",0.402673477486496,0.0989706606016312,0.260613998214036,3.04438531913383e-32,0.237741863697836
"15",0.000342059224227031,0.00017128719397095,0.0001433773033832,9.65322173186951e-22,0.999343276278419
"16",3.30123233589831e-50,2.56744261573809e-08,0.999999974325574,1.51980255832882e-53,6.85181949916442e-32
"17",3.72390073941538e-38,2.65330753872302e-26,6.70002226418112e-20,4.00280110759645e-06,0.999995997198893
"18",5.54793718734954e-184,1.15529571800561e-10,0.000834928272442289,4.69546870481102e-21,0.999165071612028
"19",1.65708245145159e-14,0.00332936373565062,4.96959041955474e-05,3.07106057849919e-18,0.996620940360137
"20",8.2255840620633e-55,0.539507968754245,0.0140071748364488,5.99177811626883e-22,0.446484856409307
"21",1.12318535369053e-09,0.00221225934553039,0.000169389548245275,2.53987193980651e-07,0.997618095995845
"22",0.404222620362135,0.311993488134641,0.283783860081347,4.60481147003332e-33,3.14218768456096e-08
"23",1.76752497968988e-58,0.780763389074577,0.000306780279737535,0.00146169965266168,0.217468130993023
"24",0.0183309477829201,0.312147302216994,0.669521749454606,1.32432218126875e-27,5.45479913386703e-10
"25",5.17301840107575e-16,0.295004317112937,0.704995629020106,2.11615841390407e-15,5.38669550265857e-08
"26",5.5373522448577e-40,0.783285668659963,0.0739304270588206,3.49326417779164e-21,0.142783904281216
"27",2.6424876399312e-29,0.0203323933236376,0.979667519314568,1.44790851182048e-18,8.73617947091839e-08
"28",1.5109078903314e-91,2.97851623367426e-13,0.999999999999702,3.2591229403607e-43,2.71719491874242e-30
"29",4.4082786099409e-135,0.00513890557417762,0.993060146004557,4.75260457388336e-07,0.00180047316080813
"30",2.07099622606427e-14,0.132615643771483,0.102661615219917,0.741198467636485,0.0235242733720935
"31",0.0678468753067881,0.631759971233319,0.275598254057778,1.0983873320281e-09,0.0247948983037279
"32",3.23695065851755e-06,0.769873587290482,0.19149078857533,1.06969667567352e-21,0.0386323871835292
"33",3.55785141274302e-76,8.25884874787088e-21,0.999983187352134,3.55201145354498e-24,1.68126478663184e-05
"34",1.03438814770372e-38,6.67995201937471e-06,0.999993320002634,7.14396369786454e-13,4.46319417550562e-11
"35",4.56051267963282e-14,0.219795203695891,0.00150164639781308,4.65066916843126e-06,0.778698499237082
"36",1.18557639728741e-18,3.63187859590448e-08,0.999999963681214,1.66160321451811e-38,9.03831992323705e-24
"37",6.01359956976958e-21,0.994594885985408,0.0053377604260942,1.64163516131736e-31,6.73535884973594e-05
"38",1.7249134201047e-06,3.83256840761362e-07,9.40903453250817e-07,2.65090064529588e-15,0.999996950926283
"39",3.81920397739378e-96,0.00144969506448983,8.47432306323619e-14,0.0107053823250192,0.987844922610406
"40",1.34658006063662e-103,2.43581701673288e-06,0.999997548360901,3.84018351217565e-29,1.58220826324781e-08
"41",7.21609365147054e-131,1.48165442696072e-07,0.99999985182831,4.16010000511917e-12,2.08696104987064e-12
"42",6.81889799331228e-30,0.203186422255196,0.733435429484139,0.00411896997611105,0.0592591782845542
"43",2.21281366881448e-53,1.1666913359344e-05,0.99998833308552,6.59925849442715e-14,1.05429687066702e-12
"44",1.73493254403257e-46,0.929433038437641,1.86989457807386e-05,0.000974244398614467,0.0695740182179642
"45",6.05982415575063e-43,0.000514222618161177,2.40009710895846e-07,0.926285018722664,0.073200518649464
"46",1.94089116294984e-59,4.95300428167446e-07,5.60067998707664e-14,0.951832706415806,0.0481667982837097
"47",3.73909049220581e-46,1.90037330821265e-10,0.999999999809963,3.2509146284347e-26,1.92608608776308e-19
"48",7.35568274685169e-36,2.93521292065053e-05,6.93240166604511e-10,0.569419198982394,0.430551448195159
"49",6.08130982169262e-34,1.06136658885475e-05,0.999989386334111,4.80100290597119e-32,2.04300814745e-20
"50",1.68455392208185e-11,0.27239840512752,0.718284730328783,1.58736232539573e-19,0.00931686452685126
"51",0.0862075837441279,0.104211028732403,0.809579668669032,3.78700670854532e-13,1.71885405826411e-06
"52",5.49595802840138e-21,0.00049290758117427,3.61764691467166e-07,1.13691267343662e-19,0.999506730654134
"53",5.61173611924353e-26,0.000117862371817979,0.999882137628097,6.85307450013039e-30,8.48926746457353e-14
"54",9.76669084207381e-152,0.0308997976318636,3.5797436920084e-10,0.512422718165069,0.456677483845093
"55",1.47057558273382e-40,0.982789657714243,6.87034008251974e-05,1.22686806233074e-24,0.0171416388849315
"56",0.132770607212627,0.0356033797205492,0.103936202528158,1.63019101961554e-21,0.727689810538666
"57",0.00465382371755144,0.399700263132314,0.595643772797062,4.95475416007471e-24,2.14035307162256e-06
"58",0.0856159526754477,0.179867640525918,0.734516406798612,7.42656870383916e-40,2.2111697794412e-14
"59",1.70682830956113e-06,0.00131099666580676,0.998687296505884,8.78703702771058e-72,4.4754443265092e-29
"60",4.21028306911477e-23,5.99180561970186e-05,0.999940081943803,1.05585136147984e-40,1.21717732080272e-23
"61",3.49538662933479e-24,0.881705198617971,0.114395170453711,1.59212967908303e-07,0.00389947171535041
"62",8.0024877033787e-17,0.000149179317762288,1.37746078963091e-07,6.07406932231047e-07,0.999850075529226
"63",1.7834054543865e-61,0.00413695146562688,1.11660152709718e-07,6.85843693926726e-06,0.995856078437281
"64",5.17682443196767e-36,0.839665725405274,0.151044694258767,0.000153129087672315,0.00913645124828622
"65",4.63539706258714e-40,0.000937783679005546,0.999062216320994,1.65053276891571e-27,1.95740526005555e-17
"66",1.11572782225331e-18,0.100960451926559,0.899039544587372,2.63702278477133e-17,3.48606917595961e-09
"67",3.98945768929384e-35,0.700317780574172,0.275041773816618,0.00389171309039294,0.0207487325188173
"68",6.38775826549509e-35,0.000354749270258911,0.999645250729741,1.28308401375626e-51,2.73978215684672e-26
"69",1.91447806563882e-67,1.37580229919184e-07,0.99999986241977,3.39442990048938e-51,8.34593925219699e-30
"70",4.08754530857516e-66,3.43027853243525e-07,0.999999656972147,2.50435114225758e-122,9.93676935313017e-57
"71",2.86869036366503e-82,0.989302533821628,0.0106974661779428,5.73888868160464e-26,4.28807958465216e-13
"72",0.000141778913332058,0.0872434624967285,0.912614758305346,9.7358328630718e-37,2.84593149919454e-10
"73",2.31470497959037e-22,0.0526962650138304,0.947301489384975,6.08174502712178e-27,2.24560119474188e-06
"74",2.12940542145874e-18,1.5345492275798e-14,5.6682039172395e-12,2.0947754126203e-15,0.999999999994314
"75",2.99834520590236e-19,0.257168595712332,0.425550150271173,2.11210408813021e-19,0.317281254016496
"76",0.00937014990514349,0.703908811944218,0.0454969890269684,1.70839069190465e-24,0.24122404912367
"77",1.2215507753265e-37,8.2227180178914e-06,0.999991777281982,5.30946513822611e-34,1.02218807763287e-22
"78",6.11195763166742e-41,6.40353526232264e-29,2.55122303665757e-37,2.97483913308703e-18,1
"79",9.4825231419842e-28,1.01674636153207e-08,0.999926439632201,8.51608844502234e-27,7.35502003356268e-05
"80",4.36342792220059e-106,2.17387635705787e-08,0.999999978256255,4.48070894530869e-14,4.9361157612177e-12
"81",8.78489108000759e-52,0.365632742470931,0.0108854772591681,0.0912345970681783,0.532247183201723
"82",1.05154285992168e-158,1.05850083044876e-68,1.62471504795528e-49,1,5.57827556339573e-17
"83",4.88450979390927e-97,1.59795342276388e-07,1.87865482829698e-26,0.00486196031473872,0.995137879889919
"84",1.67527882994512e-30,3.28401868688194e-07,0.99999967158043,2.7565972937649e-24,1.77010490935577e-11
"85",1.78455473436878e-28,1.51891266672825e-09,0.999999998481087,1.75547129907445e-33,4.24760642824894e-21
"86",0.514063678145409,0.383385431362114,0.102550889476552,2.34977632818522e-40,1.01592543018201e-09
"87",6.69119261392759e-26,0.35273296354426,0.647267031425733,1.15236770052714e-31,5.030007275041e-09
"88",1.2609631739329e-41,0.944301595870937,0.0556786949049747,4.86061142899493e-28,1.97092240878873e-05
"89",3.77739288185021e-27,1.52007933478984e-06,0.999998479920665,1.07841492654578e-50,7.78246675922201e-23
"90",2.33728006852188e-16,0.000126802521022554,2.21186331099566e-05,3.48179287642956e-16,0.999851078845867
"91",8.13120063136974e-05,0.371750089181881,0.62815405260784,3.87954571265983e-26,1.4546203965111e-05
"92",2.25657353469356e-30,0.0508474310521177,0.949152568947882,2.5268813583228e-33,5.75553823593878e-16
"93",3.33516020146661e-162,2.60933954331315e-30,1,2.83985163673692e-47,1.12780441896075e-43
